ticker,name,family,tier,cost_credits_m
AAPL,Apple,Technology,A,71.7
MSFT,Microsoft,Technology,A,62.0
NVDA,Nvidia,Technology,A,55.5
GOOGL,Alphabet,Technology,A,70.2
META,Meta Platforms,Technology,A,60.1
AVGO,Broadcom,Technology,A,70.9
ORCL,Oracle,Technology,A,55.6
LLY,Eli Lilly,Health,A,68.4
JNJ,Johnson & Johnson,Health,A,70.9
UNH,UnitedHealth,Health,A,62.8
ABBV,AbbVie,Health,A,62.5
MRK,Merck,Health,A,71.1
TMO,Thermo Fisher,Health,A,63.1
BRK-B,Berkshire Hathaway,Money,A,67.2
JPM,JPMorgan Chase,Money,A,72.2
V,Visa,Money,A,56.7
MA,Mastercard,Money,A,64.0
BAC,Bank of America,Money,A,68.4
WFC,Wells Fargo,Money,A,56.2
AMZN,Amazon,Everyday,A,69.1
WMT,Walmart,Everyday,A,60.9
PG,Procter & Gamble,Everyday,A,66.0
COST,Costco,Everyday,A,58.8
HD,Home Depot,Everyday,A,61.0
KO,Coca-Cola,Everyday,A,63.1
PEP,PepsiCo,Everyday,A,60.8
XOM,Exxon Mobil,Industry,A,61.2
CVX,Chevron,Industry,A,61.1
COP,ConocoPhillips,Industry,A,56.6
EOG,EOG Resources,Industry,A,74.8
SLB,Schlumberger,Industry,A,63.0
PSX,Phillips 66,Industry,A,69.6
MPC,Marathon Petroleum,Industry,A,69.7
VLO,Valero Energy,Industry,A,60.9
OXY,Occidental,Industry,A,73.5
CRM,Salesforce,Technology,B,38.4
AMD,AMD,Technology,B,36.6
ADBE,Adobe,Technology,B,40.6
CSCO,Cisco,Technology,B,45.6
ACN,Accenture,Technology,B,50.6
TXN,Texas Instruments,Technology,B,49.9
QCOM,Qualcomm,Technology,B,48.6
IBM,IBM,Technology,B,44.3
INTU,Intuit,Technology,B,44.3
NOW,ServiceNow,Technology,B,48.7
AMAT,Applied Materials,Technology,B,53.8
MU,Micron,Technology,B,44.4
ADI,Analog Devices,Technology,B,51.2
LRCX,Lam Research,Technology,B,43.6
KLAC,KLA,Technology,B,48.6
PANW,Palo Alto Networks,Technology,B,52.3
ABT,Abbott,Health,B,50.1
PFE,Pfizer,Health,B,41.2
AMGN,Amgen,Health,B,37.4
DHR,Danaher,Health,B,51.5
BMY,Bristol-Myers Squibb,Health,B,36.3
GILD,Gilead,Health,B,48.0
VRTX,Vertex,Health,B,48.5
ISRG,Intuitive Surgical,Health,B,39.4
CI,Cigna,Health,B,38.0
ELV,Elevance Health,Health,B,53.3
MCK,McKesson,Health,B,41.8
GS,Goldman Sachs,Money,B,40.7
MS,Morgan Stanley,Money,B,44.4
AXP,American Express,Money,B,43.7
BLK,BlackRock,Money,B,35.4
SPGI,S&P Global,Money,B,48.8
C,Citigroup,Money,B,36.3
SCHW,Charles Schwab,Money,B,39.3
CB,Chubb,Money,B,37.9
PGR,Progressive,Money,B,42.0
MMC,Marsh & McLennan,Money,B,47.8
ICE,Intercontinental Exch,Money,B,44.8
CME,CME Group,Money,B,35.1
PYPL,PayPal,Money,B,35.7
NFLX,Netflix,Everyday,B,52.3
MCD,McDonald's,Everyday,B,41.6
DIS,Walt Disney,Everyday,B,52.1
CMCSA,Comcast,Everyday,B,49.9
NKE,Nike,Everyday,B,45.8
TJX,TJX Companies,Everyday,B,41.4
LOW,Lowe's,Everyday,B,50.2
PM,Philip Morris Intl,Everyday,B,46.1
MO,Altria,Everyday,B,44.3
MDLZ,Mondelez,Everyday,B,36.5
CL,Colgate-Palmolive,Everyday,B,38.1
SBUX,Starbucks,Everyday,B,48.2
TGT,Target,Everyday,B,39.5
